position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
132501 0.0197156 0.0015 0 2422 0.0001 1e-06 1e-06 5 2500 0
132501 0.0449047 0.0005 0 2499 0.0001 1e-06 1e-06 5 2500 0
387501 0.125127 0.9965 0.0085 476 0.0001 1e-06 1e-06 5 2500 0
620001 0.00450757 0 0.057 2315 0.0001 1e-06 1e-06 5 2500 0
800001 0.101076 0.9945 0 1308 0.0001 1e-06 1e-06 5 2500 0
1362502 -0.0220749 0.034 0 2307 0.0001 1e-06 1e-06 5 2500 0
1610002 -0.102506 0.0475 0.981 986 0.0001 1e-06 1e-06 5 2500 0
1617502 0.00321814 0.0015 0 2499 0.0001 1e-06 1e-06 5 2500 0
1662502 -0.047542 0 0.004 2451 0.0001 1e-06 1e-06 5 2500 0
2150001 0.0372502 0.086 0 2271 0.0001 1e-06 1e-06 5 2500 0
2210001 -0.0580417 0.0175 0 2465 0.0001 1e-06 1e-06 5 2500 0
2352501 -0.0780664 0.0305 0 2276 0.0001 1e-06 1e-06 5 2500 0
2390002 -0.0445499 0.001 0 2476 0.0001 1e-06 1e-06 5 2500 0
3005002 0.0771157 0.992 0 227 0.0001 1e-06 1e-06 5 2500 0
3207501 -0.00271884 0 0.0015 2495 0.0001 1e-06 1e-06 5 2500 0
3830001 -0.119165 0 0.636 2216 0.0001 1e-06 1e-06 5 2500 0
3987501 -0.0144813 0 0.6515 1775 0.0001 1e-06 1e-06 5 2500 0
4070002 -0.0702365 0.0015 0 2477 0.0001 1e-06 1e-06 5 2500 0
4122501 -0.0130503 0.003 0 2493 0.0001 1e-06 1e-06 5 2500 0
4160001 0.00906696 0.2795 0 1522 0.0001 1e-06 1e-06 5 2500 0
4580001 0.00682803 0 0.0005 2500 0.0001 1e-06 1e-06 5 2500 0
387501 0.125127 0.9595 0.0075 476 0.0001 1e-06 1e-06 5 5000 0
642502 -0.0882427 0.021 0.973 2975 0.0001 1e-06 1e-06 5 5000 0
650001 0.0068191 0 0.0005 4999 0.0001 1e-06 1e-06 5 5000 0
800001 0.101076 0.9815 0.003 1308 0.0001 1e-06 1e-06 5 5000 0
1610002 -0.102506 0.008 0.9505 986 0.0001 1e-06 1e-06 5 5000 0
2150001 0.0372502 0.76 0.064 2271 0.0001 1e-06 1e-06 5 5000 0
2720002 -0.0467246 0 0.007 4972 0.0001 1e-06 1e-06 5 5000 0
3005002 0.0771157 0.9935 0.0015 227 0.0001 1e-06 1e-06 5 5000 0
3020001 -0.0228631 0 0.0005 5000 0.0001 1e-06 1e-06 5 5000 0
