position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
567501 0.0370339 0.917 0 834 1e-05 1e-06 1e-06 5 2500 0
747502 0.01294 0 0.0565 2239 1e-05 1e-06 1e-06 5 2500 0
1355001 -0.124386 0 1 449 1e-05 1e-06 1e-06 5 2500 0
1355002 -0.0726846 0 0.501 1572 1e-05 1e-06 1e-06 5 2500 0
1662501 -0.0789423 0 1 68 1e-05 1e-06 1e-06 5 2500 0
1737501 -0.0924284 0 1 489 1e-05 1e-06 1e-06 5 2500 0
1737502 0.104218 0.3075 0 2216 1e-05 1e-06 1e-06 5 2500 0
1970001 -0.0721577 0 1 261 1e-05 1e-06 1e-06 5 2500 0
2037501 0.00123703 0 0.0005 2500 1e-05 1e-06 1e-06 5 2500 0
2045002 -0.0554383 0.002 0 2486 1e-05 1e-06 1e-06 5 2500 0
2112502 0.0607018 0.6 0 1906 1e-05 1e-06 1e-06 5 2500 0
2150001 0.062742 1 0 1514 1e-05 1e-06 1e-06 5 2500 0
2262501 0.0637577 1 0 1051 1e-05 1e-06 1e-06 5 2500 0
2720001 0.0448374 0 0.0005 2500 1e-05 1e-06 1e-06 5 2500 0
3882502 -0.0172627 0.035 0 1976 1e-05 1e-06 1e-06 5 2500 0
4122501 0.0545052 1 0 321 1e-05 1e-06 1e-06 5 2500 0
4812501 -0.0186647 0 0.0005 2500 1e-05 1e-06 1e-06 5 2500 0
20002 -0.0101358 0.069 0 4773 1e-05 1e-06 1e-06 5 5000 0
387502 0.00842211 0 0.0005 5000 1e-05 1e-06 1e-06 5 5000 0
537501 -0.0627176 0 0.002 4996 1e-05 1e-06 1e-06 5 5000 0
552501 0.00282126 0 0.003 4941 1e-05 1e-06 1e-06 5 5000 0
567501 0.0370339 1 0.22 834 1e-05 1e-06 1e-06 5 5000 0
1355001 -0.124386 0 1 449 1e-05 1e-06 1e-06 5 5000 0
